Year,State,Votes
2000,Alabama,9
2004,Alabama,9
2008,Alabama,9
2012,Alabama,9
2016,Alabama,9
2020,Alabama,9
2000,Alaska,3
2004,Alaska,3
2008,Alaska,3
2012,Alaska,3
2016,Alaska,3
2020,Alaska,3
2000,Arizona,8
2004,Arizona,10
2008,Arizona,10
2012,Arizona,11
2016,Arizona,11
2020,Arizona,11
2000,Arkansas,6
2004,Arkansas,6
2008,Arkansas,6
2012,Arkansas,6
2016,Arkansas,6
2020,Arkansas,6
2000,California,54
2004,California,55
2008,California,55
2012,California,55
2016,California,55
2020,California,55
2000,Colorado,8
2004,Colorado,9
2008,Colorado,9
2012,Colorado,9
2016,Colorado,9
2020,Colorado,9
2000,Connecticut,8
2004,Connecticut,7
2008,Connecticut,7
2012,Connecticut,7
2016,Connecticut,7
2020,Connecticut,7
2000,D.C.,3
2004,D.C.,3
2008,D.C.,3
2012,D.C.,3
2016,D.C.,3
2020,D.C.,3
2000,Delaware,3
2004,Delaware,3
2008,Delaware,3
2012,Delaware,3
2016,Delaware,3
2020,Delaware,3
2000,Florida,25
2004,Florida,27
2008,Florida,27
2012,Florida,29
2016,Florida,29
2020,Florida,29
2000,Georgia,13
2004,Georgia,15
2008,Georgia,15
2012,Georgia,16
2016,Georgia,16
2020,Georgia,16
2000,Hawaii,4
2004,Hawaii,4
2008,Hawaii,4
2012,Hawaii,4
2016,Hawaii,4
2020,Hawaii,4
2000,Idaho,4
2004,Idaho,4
2008,Idaho,4
2012,Idaho,4
2016,Idaho,4
2020,Idaho,4
2000,Illinois,22
2004,Illinois,21
2008,Illinois,21
2012,Illinois,20
2016,Illinois,20
2020,Illinois,20
2000,Indiana,12
2004,Indiana,11
2008,Indiana,11
2012,Indiana,11
2016,Indiana,11
2020,Indiana,11
2000,Iowa,7
2004,Iowa,7
2008,Iowa,7
2012,Iowa,6
2016,Iowa,6
2020,Iowa,6
2000,Kansas,6
2004,Kansas,6
2008,Kansas,6
2012,Kansas,6
2016,Kansas,6
2020,Kansas,6
2000,Kentucky,8
2004,Kentucky,8
2008,Kentucky,8
2012,Kentucky,8
2016,Kentucky,8
2020,Kentucky,8
2000,Louisiana,9
2004,Louisiana,9
2008,Louisiana,9
2012,Louisiana,8
2016,Louisiana,8
2020,Louisiana,8
2000,Maine,4
2004,Maine,4
2008,Maine,4
2012,Maine,4
2016,Maine,4
2020,Maine,4
2000,Maryland,10
2004,Maryland,10
2008,Maryland,10
2012,Maryland,10
2016,Maryland,10
2020,Maryland,10
2000,Massachusetts,12
2004,Massachusetts,12
2008,Massachusetts,12
2012,Massachusetts,11
2016,Massachusetts,11
2020,Massachusetts,11
2000,Michigan,18
2004,Michigan,17
2008,Michigan,17
2012,Michigan,16
2016,Michigan,16
2020,Michigan,16
2000,Minnesota,10
2004,Minnesota,10
2008,Minnesota,10
2012,Minnesota,10
2016,Minnesota,10
2020,Minnesota,10
2000,Mississippi,7
2004,Mississippi,6
2008,Mississippi,6
2012,Mississippi,6
2016,Mississippi,6
2020,Mississippi,6
2000,Missouri,11
2004,Missouri,11
2008,Missouri,11
2012,Missouri,10
2016,Missouri,10
2020,Missouri,10
2000,Montana,3
2004,Montana,3
2008,Montana,3
2012,Montana,3
2016,Montana,3
2020,Montana,3
2000,Nebraska,5
2004,Nebraska,5
2008,Nebraska,5
2012,Nebraska,5
2016,Nebraska,5
2020,Nebraska,5
2000,Nevada,4
2004,Nevada,5
2008,Nevada,5
2012,Nevada,6
2016,Nevada,6
2020,Nevada,6
2000,New Hampshire,4
2004,New Hampshire,4
2008,New Hampshire,4
2012,New Hampshire,4
2016,New Hampshire,4
2020,New Hampshire,4
2000,New Jersey,15
2004,New Jersey,15
2008,New Jersey,15
2012,New Jersey,14
2016,New Jersey,14
2020,New Jersey,14
2000,New Mexico,5
2004,New Mexico,5
2008,New Mexico,5
2012,New Mexico,5
2016,New Mexico,5
2020,New Mexico,5
2000,New York,33
2004,New York,31
2008,New York,31
2012,New York,29
2016,New York,29
2020,New York,29
2000,North Carolina,14
2004,North Carolina,15
2008,North Carolina,15
2012,North Carolina,15
2016,North Carolina,15
2020,North Carolina,15
1788,North Dakota,
1792,North Dakota,
1796,North Dakota,
1800,North Dakota,
1804,North Dakota,
1808,North Dakota,
1812,North Dakota,
1816,North Dakota,
1820,North Dakota,
1824,North Dakota,
1828,North Dakota,
1832,North Dakota,
1836,North Dakota,
1840,North Dakota,
1844,North Dakota,
1848,North Dakota,
1852,North Dakota,
1856,North Dakota,
1860,North Dakota,
1864,North Dakota,
1868,North Dakota,
1872,North Dakota,
1876,North Dakota,
1880,North Dakota,
1884,North Dakota,
1888,North Dakota,
1892,North Dakota,3
1896,North Dakota,3
1900,North Dakota,3
1904,North Dakota,4
1908,North Dakota,4
1912,North Dakota,5
1916,North Dakota,5
1920,North Dakota,5
1924,North Dakota,5
1928,North Dakota,5
1932,North Dakota,4
1936,North Dakota,4
1940,North Dakota,4
1944,North Dakota,4
1948,North Dakota,4
1952,North Dakota,4
1956,North Dakota,4
1960,North Dakota,4
1964,North Dakota,4
1968,North Dakota,4
1972,North Dakota,3
1976,North Dakota,3
1980,North Dakota,3
1984,North Dakota,3
1988,North Dakota,3
1992,North Dakota,3
1996,North Dakota,3
2000,North Dakota,3
2004,North Dakota,3
2008,North Dakota,3
2012,North Dakota,3
2016,North Dakota,3
2020,North Dakota,3
1788,Ohio,
1792,Ohio,
1796,Ohio,
1800,Ohio,
1804,Ohio,3
1808,Ohio,3
1812,Ohio,8
1816,Ohio,8
1820,Ohio,8
1824,Ohio,16
1828,Ohio,16
1832,Ohio,21
1836,Ohio,21
1840,Ohio,21
1844,Ohio,23
1848,Ohio,23
1852,Ohio,23
1856,Ohio,23
1860,Ohio,23
1864,Ohio,21
1868,Ohio,21
1872,Ohio,22
1876,Ohio,22
1880,Ohio,22
1884,Ohio,23
1888,Ohio,23
1892,Ohio,23
1896,Ohio,23
1900,Ohio,23
1904,Ohio,23
1908,Ohio,23
1912,Ohio,24
1916,Ohio,24
1920,Ohio,24
1924,Ohio,24
1928,Ohio,24
1932,Ohio,26
1936,Ohio,26
1940,Ohio,26
1944,Ohio,25
1948,Ohio,25
1952,Ohio,25
1956,Ohio,25
1960,Ohio,25
1964,Ohio,26
1968,Ohio,26
1972,Ohio,25
1976,Ohio,25
1980,Ohio,25
1984,Ohio,23
1988,Ohio,23
1992,Ohio,21
1996,Ohio,21
2000,Ohio,21
2004,Ohio,20
2008,Ohio,20
2012,Ohio,18
2016,Ohio,18
2020,Ohio,18
1788,Oklahoma,
1792,Oklahoma,
1796,Oklahoma,
1800,Oklahoma,
1804,Oklahoma,
1808,Oklahoma,
1812,Oklahoma,
1816,Oklahoma,
1820,Oklahoma,
1824,Oklahoma,
1828,Oklahoma,
1832,Oklahoma,
1836,Oklahoma,
1840,Oklahoma,
1844,Oklahoma,
1848,Oklahoma,
1852,Oklahoma,
1856,Oklahoma,
1860,Oklahoma,
1864,Oklahoma,
1868,Oklahoma,
1872,Oklahoma,
1876,Oklahoma,
1880,Oklahoma,
1884,Oklahoma,
1888,Oklahoma,
1892,Oklahoma,
1896,Oklahoma,
1900,Oklahoma,
1904,Oklahoma,
1908,Oklahoma,7
1912,Oklahoma,10
1916,Oklahoma,10
1920,Oklahoma,10
1924,Oklahoma,10
1928,Oklahoma,10
1932,Oklahoma,11
1936,Oklahoma,11
1940,Oklahoma,11
1944,Oklahoma,10
1948,Oklahoma,10
1952,Oklahoma,8
1956,Oklahoma,8
1960,Oklahoma,8
1964,Oklahoma,8
1968,Oklahoma,8
1972,Oklahoma,8
1976,Oklahoma,8
1980,Oklahoma,8
1984,Oklahoma,8
1988,Oklahoma,8
1992,Oklahoma,8
1996,Oklahoma,8
2000,Oklahoma,8
2004,Oklahoma,7
2008,Oklahoma,7
2012,Oklahoma,7
2016,Oklahoma,7
2020,Oklahoma,7
1788,Oregon,
1792,Oregon,
1796,Oregon,
1800,Oregon,
1804,Oregon,
1808,Oregon,
1812,Oregon,
1816,Oregon,
1820,Oregon,
1824,Oregon,
1828,Oregon,
1832,Oregon,
1836,Oregon,
1840,Oregon,
1844,Oregon,
1848,Oregon,
1852,Oregon,
1856,Oregon,
1860,Oregon,3
1864,Oregon,3
1868,Oregon,3
1872,Oregon,3
1876,Oregon,3
1880,Oregon,3
1884,Oregon,3
1888,Oregon,3
1892,Oregon,4
1896,Oregon,4
1900,Oregon,4
1904,Oregon,4
1908,Oregon,4
1912,Oregon,5
1916,Oregon,5
1920,Oregon,5
1924,Oregon,5
1928,Oregon,5
1932,Oregon,5
1936,Oregon,5
1940,Oregon,5
1944,Oregon,6
1948,Oregon,6
1952,Oregon,6
1956,Oregon,6
1960,Oregon,6
1964,Oregon,6
1968,Oregon,6
1972,Oregon,6
1976,Oregon,6
1980,Oregon,6
1984,Oregon,7
1988,Oregon,7
1992,Oregon,7
1996,Oregon,7
2000,Oregon,7
2004,Oregon,7
2008,Oregon,7
2012,Oregon,7
2016,Oregon,7
2020,Oregon,7
1788,Pennsylvania,10
1792,Pennsylvania,15
1796,Pennsylvania,15
1800,Pennsylvania,15
1804,Pennsylvania,20
1808,Pennsylvania,20
1812,Pennsylvania,25
1816,Pennsylvania,25
1820,Pennsylvania,25
1824,Pennsylvania,28
1828,Pennsylvania,28
1832,Pennsylvania,30
1836,Pennsylvania,30
1840,Pennsylvania,30
1844,Pennsylvania,26
1848,Pennsylvania,26
1852,Pennsylvania,27
1856,Pennsylvania,27
1860,Pennsylvania,27
1864,Pennsylvania,26
1868,Pennsylvania,26
1872,Pennsylvania,29
1876,Pennsylvania,29
1880,Pennsylvania,29
1884,Pennsylvania,30
1888,Pennsylvania,30
1892,Pennsylvania,32
1896,Pennsylvania,32
1900,Pennsylvania,32
1904,Pennsylvania,34
1908,Pennsylvania,34
1912,Pennsylvania,38
1916,Pennsylvania,38
1920,Pennsylvania,38
1924,Pennsylvania,38
1928,Pennsylvania,38
1932,Pennsylvania,36
1936,Pennsylvania,36
1940,Pennsylvania,36
1944,Pennsylvania,35
1948,Pennsylvania,35
1952,Pennsylvania,32
1956,Pennsylvania,32
1960,Pennsylvania,32
1964,Pennsylvania,29
1968,Pennsylvania,29
1972,Pennsylvania,27
1976,Pennsylvania,27
1980,Pennsylvania,27
1984,Pennsylvania,25
1988,Pennsylvania,25
1992,Pennsylvania,23
1996,Pennsylvania,23
2000,Pennsylvania,23
2004,Pennsylvania,21
2008,Pennsylvania,21
2012,Pennsylvania,20
2016,Pennsylvania,20
2020,Pennsylvania,20
1788,Rhode Island,
1792,Rhode Island,4
1796,Rhode Island,4
1800,Rhode Island,4
1804,Rhode Island,4
1808,Rhode Island,4
1812,Rhode Island,4
1816,Rhode Island,4
1820,Rhode Island,4
1824,Rhode Island,4
1828,Rhode Island,4
1832,Rhode Island,4
1836,Rhode Island,4
1840,Rhode Island,4
1844,Rhode Island,4
1848,Rhode Island,4
1852,Rhode Island,4
1856,Rhode Island,4
1860,Rhode Island,4
1864,Rhode Island,4
1868,Rhode Island,4
1872,Rhode Island,4
1876,Rhode Island,4
1880,Rhode Island,4
1884,Rhode Island,4
1888,Rhode Island,4
1892,Rhode Island,4
1896,Rhode Island,4
1900,Rhode Island,4
1904,Rhode Island,4
1908,Rhode Island,4
1912,Rhode Island,5
1916,Rhode Island,5
1920,Rhode Island,5
1924,Rhode Island,5
1928,Rhode Island,5
1932,Rhode Island,4
1936,Rhode Island,4
1940,Rhode Island,4
1944,Rhode Island,4
1948,Rhode Island,4
1952,Rhode Island,4
1956,Rhode Island,4
1960,Rhode Island,4
1964,Rhode Island,4
1968,Rhode Island,4
1972,Rhode Island,4
1976,Rhode Island,4
1980,Rhode Island,4
1984,Rhode Island,4
1988,Rhode Island,4
1992,Rhode Island,4
1996,Rhode Island,4
2000,Rhode Island,4
2004,Rhode Island,4
2008,Rhode Island,4
2012,Rhode Island,4
2016,Rhode Island,4
2020,Rhode Island,4
1788,South Carolina,7
1792,South Carolina,8
1796,South Carolina,8
1800,South Carolina,8
1804,South Carolina,10
1808,South Carolina,10
1812,South Carolina,11
1816,South Carolina,11
1820,South Carolina,11
1824,South Carolina,11
1828,South Carolina,11
1832,South Carolina,11
1836,South Carolina,11
1840,South Carolina,11
1844,South Carolina,9
1848,South Carolina,9
1852,South Carolina,8
1856,South Carolina,8
1860,South Carolina,8
1864,South Carolina,0
1868,South Carolina,6
1872,South Carolina,7
1876,South Carolina,7
1880,South Carolina,7
1884,South Carolina,9
1888,South Carolina,9
1892,South Carolina,9
1896,South Carolina,9
1900,South Carolina,9
1904,South Carolina,9
1908,South Carolina,9
1912,South Carolina,9
1916,South Carolina,9
1920,South Carolina,9
1924,South Carolina,9
1928,South Carolina,9
1932,South Carolina,8
1936,South Carolina,8
1940,South Carolina,8
1944,South Carolina,8
1948,South Carolina,8
1952,South Carolina,8
1956,South Carolina,8
1960,South Carolina,8
1964,South Carolina,8
1968,South Carolina,8
1972,South Carolina,8
1976,South Carolina,8
1980,South Carolina,8
1984,South Carolina,8
1988,South Carolina,8
1992,South Carolina,8
1996,South Carolina,8
2000,South Carolina,8
2004,South Carolina,8
2008,South Carolina,8
2012,South Carolina,9
2016,South Carolina,9
2020,South Carolina,9
1788,South Dakota,
1792,South Dakota,
1796,South Dakota,
1800,South Dakota,
1804,South Dakota,
1808,South Dakota,
1812,South Dakota,
1816,South Dakota,
1820,South Dakota,
1824,South Dakota,
1828,South Dakota,
1832,South Dakota,
1836,South Dakota,
1840,South Dakota,
1844,South Dakota,
1848,South Dakota,
1852,South Dakota,
1856,South Dakota,
1860,South Dakota,
1864,South Dakota,
1868,South Dakota,
1872,South Dakota,
1876,South Dakota,
1880,South Dakota,
1884,South Dakota,
1888,South Dakota,
1892,South Dakota,4
1896,South Dakota,4
1900,South Dakota,4
1904,South Dakota,4
1908,South Dakota,4
1912,South Dakota,5
1916,South Dakota,5
1920,South Dakota,5
1924,South Dakota,5
1928,South Dakota,5
1932,South Dakota,4
1936,South Dakota,4
1940,South Dakota,4
1944,South Dakota,4
1948,South Dakota,4
1952,South Dakota,4
1956,South Dakota,4
1960,South Dakota,4
1964,South Dakota,4
1968,South Dakota,4
1972,South Dakota,4
1976,South Dakota,4
1980,South Dakota,4
1984,South Dakota,3
1988,South Dakota,3
1992,South Dakota,3
1996,South Dakota,3
2000,South Dakota,3
2004,South Dakota,3
2008,South Dakota,3
2012,South Dakota,3
2016,South Dakota,3
2020,South Dakota,3
1788,Tennessee,
1792,Tennessee,
1796,Tennessee,3
1800,Tennessee,3
1804,Tennessee,5
1808,Tennessee,5
1812,Tennessee,8
1816,Tennessee,8
1820,Tennessee,8
1824,Tennessee,11
1828,Tennessee,11
1832,Tennessee,15
1836,Tennessee,15
1840,Tennessee,15
1844,Tennessee,13
1848,Tennessee,13
1852,Tennessee,12
1856,Tennessee,12
1860,Tennessee,12
1864,Tennessee,0
1868,Tennessee,10
1872,Tennessee,12
1876,Tennessee,12
1880,Tennessee,12
1884,Tennessee,12
1888,Tennessee,12
1892,Tennessee,12
1896,Tennessee,12
1900,Tennessee,12
1904,Tennessee,12
1908,Tennessee,12
1912,Tennessee,12
1916,Tennessee,12
1920,Tennessee,12
1924,Tennessee,12
1928,Tennessee,12
1932,Tennessee,11
1936,Tennessee,11
1940,Tennessee,11
1944,Tennessee,12
1948,Tennessee,12
1952,Tennessee,11
1956,Tennessee,11
1960,Tennessee,11
1964,Tennessee,11
1968,Tennessee,11
1972,Tennessee,10
1976,Tennessee,10
1980,Tennessee,10
1984,Tennessee,11
1988,Tennessee,11
1992,Tennessee,11
1996,Tennessee,11
2000,Tennessee,11
2004,Tennessee,11
2008,Tennessee,11
2012,Tennessee,11
2016,Tennessee,11
2020,Tennessee,11
1788,Texas,
1792,Texas,
1796,Texas,
1800,Texas,
1804,Texas,
1808,Texas,
1812,Texas,
1816,Texas,
1820,Texas,
1824,Texas,
1828,Texas,
1832,Texas,
1836,Texas,
1840,Texas,
1844,Texas,
1848,Texas,4
1852,Texas,4
1856,Texas,4
1860,Texas,4
1864,Texas,0
1868,Texas,0
1872,Texas,8
1876,Texas,8
1880,Texas,8
1884,Texas,13
1888,Texas,13
1892,Texas,15
1896,Texas,15
1900,Texas,15
1904,Texas,18
1908,Texas,18
1912,Texas,20
1916,Texas,20
1920,Texas,20
1924,Texas,20
1928,Texas,20
1932,Texas,23
1936,Texas,23
1940,Texas,23
1944,Texas,23
1948,Texas,23
1952,Texas,24
1956,Texas,24
1960,Texas,24
1964,Texas,25
1968,Texas,25
1972,Texas,26
1976,Texas,26
1980,Texas,26
1984,Texas,29
1988,Texas,29
1992,Texas,32
1996,Texas,32
2000,Texas,32
2004,Texas,34
2008,Texas,34
2012,Texas,38
2016,Texas,38
2020,Texas,38
1788,Utah,
1792,Utah,
1796,Utah,
1800,Utah,
1804,Utah,
1808,Utah,
1812,Utah,
1816,Utah,
1820,Utah,
1824,Utah,
1828,Utah,
1832,Utah,
1836,Utah,
1840,Utah,
1844,Utah,
1848,Utah,
1852,Utah,
1856,Utah,
1860,Utah,
1864,Utah,
1868,Utah,
1872,Utah,
1876,Utah,
1880,Utah,
1884,Utah,
1888,Utah,
1892,Utah,
1896,Utah,3
1900,Utah,3
1904,Utah,3
1908,Utah,3
1912,Utah,4
1916,Utah,4
1920,Utah,4
1924,Utah,4
1928,Utah,4
1932,Utah,4
1936,Utah,4
1940,Utah,4
1944,Utah,4
1948,Utah,4
1952,Utah,4
1956,Utah,4
1960,Utah,4
1964,Utah,4
1968,Utah,4
1972,Utah,4
1976,Utah,4
1980,Utah,4
1984,Utah,5
1988,Utah,5
1992,Utah,5
1996,Utah,5
2000,Utah,5
2004,Utah,5
2008,Utah,5
2012,Utah,6
2016,Utah,6
2020,Utah,6
1788,Vermont,
1792,Vermont,4
1796,Vermont,4
1800,Vermont,4
1804,Vermont,6
1808,Vermont,6
1812,Vermont,8
1816,Vermont,8
1820,Vermont,8
1824,Vermont,7
1828,Vermont,7
1832,Vermont,7
1836,Vermont,7
1840,Vermont,7
1844,Vermont,6
1848,Vermont,6
1852,Vermont,5
1856,Vermont,5
1860,Vermont,5
1864,Vermont,5
1868,Vermont,5
1872,Vermont,5
1876,Vermont,5
1880,Vermont,5
1884,Vermont,4
1888,Vermont,4
1892,Vermont,4
1896,Vermont,4
1900,Vermont,4
1904,Vermont,4
1908,Vermont,4
1912,Vermont,4
1916,Vermont,4
1920,Vermont,4
1924,Vermont,4
1928,Vermont,4
1932,Vermont,3
1936,Vermont,3
1940,Vermont,3
1944,Vermont,3
1948,Vermont,3
1952,Vermont,3
1956,Vermont,3
1960,Vermont,3
1964,Vermont,3
1968,Vermont,3
1972,Vermont,3
1976,Vermont,3
1980,Vermont,3
1984,Vermont,3
1988,Vermont,3
1992,Vermont,3
1996,Vermont,3
2000,Vermont,3
2004,Vermont,3
2008,Vermont,3
2012,Vermont,3
2016,Vermont,3
2020,Vermont,3
1788,Virginia,12
1792,Virginia,21
1796,Virginia,21
1800,Virginia,21
1804,Virginia,24
1808,Virginia,24
1812,Virginia,25
1816,Virginia,25
1820,Virginia,25
1824,Virginia,24
1828,Virginia,24
1832,Virginia,23
1836,Virginia,23
1840,Virginia,23
1844,Virginia,17
1848,Virginia,17
1852,Virginia,15
1856,Virginia,15
1860,Virginia,15
1864,Virginia,0
1868,Virginia,0
1872,Virginia,11
1876,Virginia,11
1880,Virginia,11
1884,Virginia,12
1888,Virginia,12
1892,Virginia,12
1896,Virginia,12
1900,Virginia,12
1904,Virginia,12
1908,Virginia,12
1912,Virginia,12
1916,Virginia,12
1920,Virginia,12
1924,Virginia,12
1928,Virginia,12
1932,Virginia,11
1936,Virginia,11
1940,Virginia,11
1944,Virginia,11
1948,Virginia,11
1952,Virginia,12
1956,Virginia,12
1960,Virginia,12
1964,Virginia,12
1968,Virginia,12
1972,Virginia,12
1976,Virginia,12
1980,Virginia,12
1984,Virginia,12
1988,Virginia,12
1992,Virginia,13
1996,Virginia,13
2000,Virginia,13
2004,Virginia,13
2008,Virginia,13
2012,Virginia,13
2016,Virginia,13
2020,Virginia,13
1788,Washington,
1792,Washington,
1796,Washington,
1800,Washington,
1804,Washington,
1808,Washington,
1812,Washington,
1816,Washington,
1820,Washington,
1824,Washington,
1828,Washington,
1832,Washington,
1836,Washington,
1840,Washington,
1844,Washington,
1848,Washington,
1852,Washington,
1856,Washington,
1860,Washington,
1864,Washington,
1868,Washington,
1872,Washington,
1876,Washington,
1880,Washington,
1884,Washington,
1888,Washington,
1892,Washington,4
1896,Washington,4
1900,Washington,4
1904,Washington,5
1908,Washington,5
1912,Washington,7
1916,Washington,7
1920,Washington,7
1924,Washington,7
1928,Washington,7
1932,Washington,8
1936,Washington,8
1940,Washington,8
1944,Washington,8
1948,Washington,8
1952,Washington,9
1956,Washington,9
1960,Washington,9
1964,Washington,9
1968,Washington,9
1972,Washington,9
1976,Washington,9
1980,Washington,9
1984,Washington,10
1988,Washington,10
1992,Washington,11
1996,Washington,11
2000,Washington,11
2004,Washington,11
2008,Washington,11
2012,Washington,12
2016,Washington,12
2020,Washington,12
2000,West Virginia,5
2004,West Virginia,5
2008,West Virginia,5
2012,West Virginia,5
2016,West Virginia,5
2020,West Virginia,5
2000,Wisconsin,11
2004,Wisconsin,10
2008,Wisconsin,10
2012,Wisconsin,10
2016,Wisconsin,10
2020,Wisconsin,10
2000,Wyoming,3
2004,Wyoming,3
2008,Wyoming,3
2012,Wyoming,3
2016,Wyoming,3
2020,Wyoming,3
